instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w20.001,0,439.0,1278.0,16,0,1278439.0,28.985555300023407
n20w20.001,1,425.0,1431.0,13,0,1431425.0,27.189440799993463
n20w20.001,2,422.0,1230.0,15,0,1230422.0,26.867451099911705
n20w20.001,3,413.0,1241.0,13,0,1241413.0,26.546227699960582
n20w20.001,4,432.0,1357.0,16,0,1357432.0,26.47142580000218
n20w20.001,5,390.0,1408.0,15,0,1408390.0,26.96461389993783
n20w20.001,6,417.0,1344.0,18,0,1344417.0,26.8023106000619
n20w20.001,7,424.0,1596.0,16,0,1596424.0,29.129523900104687
n20w20.001,8,439.0,1300.0,14,0,1300439.0,26.514830600004643
n20w20.001,9,392.0,1298.0,15,0,1298392.0,26.677441900013946
