instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w40.001,0,252.0,1.0,1,0,1252.0,28.56894080003258
n20w40.001,1,254.0,0.0,0,1,254.0,28.32189310004469
n20w40.001,2,254.0,0.0,0,1,254.0,28.181962399976328
n20w40.001,3,252.0,93.0,1,0,93252.0,30.12426929990761
n20w40.001,4,254.0,0.0,0,1,254.0,29.355972100049257
n20w40.001,5,254.0,0.0,0,1,254.0,27.727701899944805
n20w40.001,6,254.0,0.0,0,1,254.0,28.96102950000204
n20w40.001,7,254.0,0.0,0,1,254.0,27.49688829993829
n20w40.001,8,254.0,0.0,0,1,254.0,26.749135400052182
n20w40.001,9,254.0,0.0,0,1,254.0,29.2295032000402
