instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w60.001,0,45,715822.2000000003,184.0,335.0,0.0,1703.0,1,335.0,109.57356200006325
n20w60.001,1,46,715746.2000000003,184.0,335.0,0.0,1703.0,1,335.0,105.43140150001273
n20w60.001,2,36,710179.2000000003,184.0,335.0,0.0,3814.0,1,335.0,104.39752080000471
n20w60.001,3,43,709695.4000000003,186.0,335.0,0.0,1851.0,1,335.0,99.5473803000059
n20w60.001,4,47,715268.6000000002,183.0,335.0,0.0,1990.0,1,335.0,98.60541020007804
n20w60.001,5,52,716278.2000000003,184.0,335.0,0.0,1703.0,1,335.0,102.27569730009418
n20w60.001,6,43,715013.6000000002,183.0,335.0,0.0,1990.0,1,335.0,97.16135060007218
n20w60.001,7,45,715221.6000000002,183.0,335.0,0.0,1990.0,1,335.0,116.58265470003244
n20w60.001,8,44,716501.6000000002,183.0,335.0,0.0,1990.0,1,335.0,123.90395589999389
n20w60.001,9,46,710003.2000000002,184.0,335.0,0.0,2228.0,1,335.0,189.423647299991
