instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w80.001,0,55,592885.9200000005,180.0,358.0,177.0,3074.0,0,nan,104.15874240000267
n20w80.001,1,46,557332.1200000002,180.0,347.0,333.0,3074.0,0,nan,104.56282630003989
n20w80.001,2,51,621921.5200000007,180.0,329.0,0.0,3074.0,1,329.0,101.99588459997904
n20w80.001,3,48,608664.5200000004,180.0,333.0,10.0,3074.0,0,nan,101.84605319995899
n20w80.001,4,50,592993.1200000006,180.0,319.0,188.0,3074.0,0,nan,104.98308509995695
n20w80.001,5,45,601028.5200000005,180.0,333.0,0.0,3074.0,1,333.0,103.94166750006843
n20w80.001,6,53,590566.72,180.0,345.0,1.0,3074.0,0,nan,101.91664959990885
n20w80.001,7,48,617571.7200000004,180.0,327.0,1.0,3074.0,0,nan,102.10707380005624
n20w80.001,8,52,592959.1200000007,180.0,320.0,188.0,3074.0,0,nan,103.52725709998049
n20w80.001,9,48,558269.1200000001,180.0,347.0,333.0,3074.0,0,nan,105.10187729995232
